duns,ofo_status,ofo_expiry,ofo_issue,certify_status,certify_expiry,certify_issue,status_match,issue_match,expiry_match
194939328,active,3/4/2019,3/4/2010,,,,,,
196332584,graduated,2/26/2018,2/25/2009,,,,,,
197625184,graduated,6/9/2018,6/8/2009,,,,,,
197735702,withdrawn,6/4/2018,10/29/2009,,,,,,
198230927,graduated,10/8/2018,10/8/2009,,,,,,
198404910,withdrawn,10/27/2017,6/27/2012,,,,,,
199110656,active,5/22/2019,5/22/2010,,,,,,
199229993,graduated,8/1/2018,7/30/2009,,,,,,
360979889,graduated,6/30/2018,6/30/2009,,,,,,
361725158,withdrawn,9/13/2018,5/4/2011,,,,,,
361959195,graduated,9/13/2018,9/11/2009,,,,,,
362736873,graduated,3/27/2018,3/26/2009,,,,,,
362845781,graduated,1/11/2018,1/7/2009,,,,,,
363040556,graduated,6/18/2018,6/18/2009,,,,,,
363650110,graduated,10/1/2018,10/1/2009,,,,,,
364212733,graduated,3/14/2018,3/13/2009,,,,,,
556037773,terminated,12/18/2017,5/14/2010,,,,,,
556859424,active,11/28/2024,11/28/2015,,,,,,
557412124,graduated,1/7/2018,1/6/2009,,,,,,
557415119,graduated,3/7/2018,3/6/2009,,,,,,
601812626,graduated,10/8/2018,10/8/2009,,,,,,
602301272,active,3/21/2020,3/21/2011,,,,,,
602497484,withdrawn,8/22/2018,5/23/2012,,,,,,
602783248,graduated,10/29/2018,10/29/2009,,,,,,
603066192,graduated,6/1/2018,6/1/2009,,,,,,
603198453,graduated,6/30/2018,6/30/2009,,,,,,
603678355,active,2/2/2021,2/2/2012,,,,,,
603767195,graduated,3/31/2018,3/30/2009,,,,,,
607087210,active,2/6/2024,2/6/2015,,,,,,
607438277,graduated,5/21/2018,5/21/2009,,,,,,
608472309,active,1/15/2025,1/15/2016,,,,,,
608546680,graduated,7/10/2018,7/10/2009,,,,,,
608604638,active,3/21/2023,3/21/2014,,,,,,
609602193,active,11/24/2019,11/24/2010,,,,,,
609707588,graduated,8/11/2018,8/11/2009,,,,,,
610347812,graduated,10/22/2018,10/22/2009,,,,,,
610451739,graduated,6/12/2018,6/12/2009,,,,,,
612917612,active,2/16/2021,2/16/2012,,,,,,
612920475,graduated,7/22/2018,7/22/2009,,,,,,
614380884,graduated,6/30/2018,6/30/2009,,,,,,
614748742,graduated,1/11/2018,1/6/2009,,,,,,
614829054,graduated,5/26/2018,5/26/2009,,,,,,
616068362,graduated,3/7/2018,3/6/2009,,,,,,
616242686,active,3/11/2020,3/11/2011,,,,,,
617274498,graduated,12/28/2018,12/28/2009,,,,,,
617993063,graduated,7/10/2018,7/10/2009,,,,,,
619449320,graduated,7/28/2018,7/28/2009,,,,,,
619621878,graduated,1/11/2018,1/9/2009,,,,,,
620862016,graduated,6/9/2018,6/8/2009,,,,,,
620942008,active,5/22/2024,5/22/2015,,,,,,
621475743,active,8/15/2023,8/15/2014,,,,,,
621665715,graduated,7/28/2018,7/28/2009,,,,,,
622004740,graduated,6/9/2018,6/8/2009,,,,,,
622158843,withdrawn,6/22/2018,12/28/2009,,,,,,
622818784,graduated,5/28/2018,5/26/2009,,,,,,
623385296,graduated,10/22/2018,10/22/2009,,,,,,
623443582,graduated,9/30/2018,9/30/2009,,,,,,
623587867,graduated,5/30/2018,5/29/2009,,,,,,
623616799,graduated,9/17/2018,9/17/2009,,,,,,
623686834,graduated,8/11/2018,8/11/2009,,,,,,
624088147,graduated,5/27/2018,5/26/2009,,,,,,
625150565,graduated,7/10/2018,7/10/2009,,,,,,
626394725,active,4/1/2019,4/1/2010,,,,,,
626798685,graduated,10/13/2018,10/13/2009,,,,,,
627013910,active,3/15/2022,3/15/2013,,,,,,
627597136,graduated,8/21/2018,8/21/2009,,,,,,
780148248,graduated,8/31/2018,8/31/2009,,,,,,
780344938,active,9/18/2024,9/18/2015,,,,,,
780411133,graduated,9/17/2018,9/17/2009,,,,,,
780588740,graduated,1/4/2018,12/29/2008,,,,,,
781052746,graduated,7/10/2018,7/10/2009,,,,,,
782801596,graduated,3/7/2018,3/6/2009,,,,,,
782985956,graduated,6/18/2018,6/18/2009,,,,,,
783368012,graduated,10/22/2018,10/22/2009,,,,,,
783658581,withdrawn,9/19/2017,8/31/2009,,,,,,
783824720,graduated,3/7/2018,3/6/2009,,,,,,
783834125,graduated,3/7/2018,3/6/2009,,,,,,
784236858,graduated,7/10/2018,7/10/2009,,,,,,
784434321,graduated,7/10/2018,7/10/2009,,,,,,
785013454,graduated,7/22/2018,7/22/2009,,,,,,
786524772,graduated,3/27/2018,3/24/2009,,,,,,
786585062,graduated,3/31/2018,3/30/2009,,,,,,
786856203,graduated,9/30/2018,9/30/2009,,,,,,
786945126,graduated,10/22/2018,10/22/2009,,,,,,
787488399,graduated,4/15/2018,4/14/2009,,,,,,
