duns,ofo_status,ofo_expiry,ofo_issue,certify_status,certify_expiry,certify_issue,status_match,issue_match,expiry_match
825288322,graduated,7/10/2018,7/10/2009,,,,,,
825887420,graduated,2/26/2018,2/25/2009,,,,,,
825903821,graduated,3/31/2018,3/30/2009,,,,,,
826034071,graduated,8/11/2018,8/11/2009,,,,,,
826539061,active,12/9/2019,12/9/2010,,,,,,
826784444,graduated,7/10/2018,7/10/2009,,,,,,
826888013,graduated,8/11/2018,8/11/2009,,,,,,
826939295,withdrawn,6/4/2018,11/30/2010,,,,,,
826962172,graduated,11/14/2018,11/14/2009,,,,,,
826975489,graduated,1/29/2019,1/29/2010,,,,,,
826985066,graduated,4/8/2018,4/7/2009,,,,,,
827150611,active,10/27/2020,10/27/2011,,,,,,
827155065,withdrawn,8/22/2018,9/30/2009,,,,,,
827158796,withdrawn,10/27/2017,7/21/2010,,,,,,
827403267,graduated,9/30/2018,9/30/2009,,,,,,
827448957,graduated,1/11/2018,1/9/2009,,,,,,
827728879,graduated,9/17/2018,9/17/2009,,,,,,
827849386,graduated,9/30/2018,9/30/2009,,,,,,
827884425,withdrawn,2/1/2018,10/28/2011,,,,,,
828268503,withdrawn,7/11/2018,10/22/2009,,,,,,
828297908,graduated,8/19/2018,8/19/2009,,,,,,
828359211,graduated,8/11/2018,8/11/2009,,,,,,
828390182,graduated,6/9/2018,6/8/2009,,,,,,
828402953,active,4/15/2020,4/15/2011,,,,,,
828433388,graduated,9/1/2018,9/1/2009,,,,,,
828480819,graduated,3/15/2018,3/13/2009,,,,,,
828528740,withdrawn,10/27/2017,7/18/2016,,,,,,
828559349,graduated,9/21/2018,9/21/2009,,,,,,
828707575,graduated,9/30/2018,9/30/2009,,,,,,
828711437,active,3/19/2022,3/19/2013,,,,,,
828743000,active,11/28/2020,11/28/2011,,,,,,
828996152,active,11/26/2021,11/26/2012,,,,,,
829021364,active,1/26/2024,1/26/2015,,,,,,
829026207,active,12/19/2025,12/19/2016,,,,,,
829047740,withdrawn,5/21/2018,12/28/2009,,,,,,
829139695,graduated,9/30/2018,9/30/2009,,,,,,
829149819,graduated,9/9/2018,9/9/2009,,,,,,
829152672,active,10/28/2020,10/28/2011,,,,,,
829177596,graduated,8/21/2018,8/21/2009,,,,,,
829248827,active,2/15/2022,2/15/2013,,,,,,
829307649,active,11/22/2020,11/22/2011,,,,,,
829353106,active,8/24/2019,8/24/2010,,,,,,
829484356,graduated,8/21/2018,8/21/2009,,,,,,
829506190,active,11/25/2025,11/25/2016,,,,,,
829594790,graduated,8/21/2018,8/21/2009,,,,,,
829617526,withdrawn,11/3/2017,8/5/2010,,,,,,
829742852,graduated,8/31/2018,8/31/2009,,,,,,
829812028,withdrawn,10/17/2017,5/9/2011,,,,,,
829828917,graduated,8/31/2018,8/31/2009,,,,,,
829829691,active,1/25/2020,1/25/2011,,,,,,
829972194,active,7/18/2022,7/18/2013,,,,,,
830124462,graduated,9/30/2018,9/30/2009,,,,,,
830165937,withdrawn,7/11/2018,5/2/2012,,,,,,
830331638,graduated,7/2/2018,7/2/2009,,,,,,
830486267,graduated,9/21/2018,9/21/2009,,,,,,
830891060,graduated,10/29/2018,10/29/2009,,,,,,
831297093,active,8/23/2019,8/23/2010,,,,,,
831309807,active,12/13/2022,12/13/2013,,,,,,
831374249,terminated,1/10/2018,5/8/2015,,,,,,
831619809,early_graduated,8/16/2018,12/6/2011,,,,,,
831632521,graduated,11/14/2018,11/14/2009,,,,,,
831714477,withdrawn,6/26/2018,8/17/2016,,,,,,
831804823,active,5/5/2020,5/5/2011,,,,,,
832002807,withdrawn,2/1/2018,12/2/2010,,,,,,
832387810,withdrawn,8/16/2018,4/29/2010,,,,,,
832895085,early_graduated,8/16/2018,5/4/2011,,,,,,
833004596,withdrawn,6/26/2018,10/3/2011,,,,,,
834434649,graduated,6/30/2018,6/30/2009,,,,,,
835596920,active,12/29/2020,12/29/2011,,,,,,
840039494,withdrawn,5/21/2018,4/13/2012,,,,,,
841483857,graduated,7/2/2018,7/2/2009,,,,,,
842365926,graduated,11/14/2018,11/14/2009,,,,,,
843148321,active,2/21/2020,2/21/2011,,,,,,
843555686,graduated,11/14/2018,11/14/2009,,,,,,
845958318,graduated,3/27/2018,3/24/2009,,,,,,
847908774,active,12/14/2020,12/14/2011,,,,,,
848463055,active,1/10/2025,1/10/2016,,,,,,
849625355,graduated,7/24/2018,7/23/2009,,,,,,
855032319,graduated,7/22/2018,7/22/2009,,,,,,
855034836,graduated,10/8/2018,10/8/2009,,,,,,
855038865,withdrawn,11/3/2017,7/22/2009,,,,,,
858989507,terminated,7/30/2018,12/6/2012,,,,,,
861341910,graduated,7/28/2018,7/28/2009,,,,,,
877440701,graduated,10/13/2018,10/13/2009,,,,,,
877511118,active,8/10/2021,8/10/2012,,,,,,
883869935,graduated,9/25/2018,9/25/2009,,,,,,
927280474,graduated,8/11/2018,8/11/2009,,,,,,
930302190,active,12/29/2020,12/29/2011,,,,,,
941003530,withdrawn,11/3/2017,2/28/2014,,,,,,
944137848,graduated,5/30/2018,5/29/2009,,,,,,
947172649,graduated,9/21/2018,9/21/2009,,,,,,
948864871,graduated,6/18/2018,6/18/2009,,,,,,
949307839,withdrawn,10/27/2017,3/6/2009,,,,,,
956991640,graduated,8/11/2018,8/11/2009,,,,,,
957180222,graduated,8/31/2018,8/31/2009,,,,,,
958056132,graduated,3/15/2018,3/12/2009,,,,,,
961550449,graduated,6/18/2018,6/18/2009,,,,,,
961628737,active,2/6/2024,2/6/2015,,,,,,
961884991,active,12/6/2020,12/6/2011,,,,,,
962446360,withdrawn,11/7/2017,10/28/2011,,,,,,
962522996,withdrawn,8/16/2018,8/26/2011,,,,,,
962631540,active,4/14/2025,4/14/2016,,,,,,
963839415,withdrawn,11/7/2017,8/5/2011,,,,,,
964561943,withdrawn,8/16/2018,10/7/2011,,,,,,
964964878,graduated,10/8/2018,10/8/2009,,,,,,
965039527,active,11/21/2023,11/21/2014,,,,,,
965502193,withdrawn,8/16/2018,2/16/2012,,,,,,
965969884,active,12/6/2020,12/6/2011,,,,,,
966840295,active,1/15/2025,1/15/2016,,,,,,
967026584,graduated,11/4/2018,11/4/2009,,,,,,
967227583,withdrawn,2/22/2018,8/26/2011,,,,,,
968410931,active,4/25/2022,4/25/2013,,,,,,
968468772,active,12/1/2020,12/1/2011,,,,,,
969953582,active,1/24/2023,1/24/2014,,,,,,
